Applicant Id,Age,Gender,Marital Status,Annual Income,Loan Amount,Credit Score,No Of Dependent,Existing Loan,Employment Status,Loan Approved,Age Category,Income Category,Loan Approval Status,Loan to Value Ratio,LTV Category,Credit Band,Employment Type,Dependancy,Average Monthly EMI,Loan to Credit Ratio,LTC Category,Credit Age Ratio,Credit Age Category
11,31,Female,Married,"1,29,126.00","5,785.00",662,1,1,Un-Employed,1,Adult,High Income,Approved,4%,Low Exposure,Good, Other Income,Low Dependency,115.70,8.74,Conservative-Low Risk,21.35,Long/Mature
12,44,Female,Single,"88,099.00","11,139.00",422,3,3,Self-Employed,0,Middle-Aged,Average Income,Rejected,13%,Low Exposure,Poor,Employed,High Dependency,668.34,26.40,Conservative-Low Risk,9.59,New/Thin
13,56,Male,Divorced,"56,060.00","11,344.00",487,3,4,Self-Employed,0,Middle-Aged,Average Income,Rejected,20%,Low Exposure,Poor,Employed,High Dependency,907.52,23.29,Conservative-Low Risk,8.70,New/Thin
14,60,Male,Married,"1,14,733.00","23,800.00",719,1,4,Un-Employed,1,Senior,High Income,Approved,21%,Low Exposure,Good, Other Income,Low Dependency,1904.00,33.10,Conservative-Low Risk,11.98,Moderate
15,44,Male,Married,"89,122.00","30,372.00",551,0,1,Employed,1,Middle-Aged,Average Income,Approved,34%,Low Exposure,Poor,Employed,No DePendency,607.44,55.12,Aggressive-High Risk,12.52,Moderate
16,23,Male,Single,"36,087.00","25,538.00",848,2,0,Self-Employed,1,Youth,Low Income,Approved,71%,High Exposure,Excellent,Employed,Low Dependency,510.76,30.12,Conservative-Low Risk,36.87,Long/Mature
17,42,Female,Single,"68,868.00","19,973.00",634,3,0,Self-Employed,1,Middle-Aged,Average Income,Approved,29%,Low Exposure,Good,Employed,High Dependency,399.46,31.50,Conservative-Low Risk,15.10,Moderate
18,22,Female,Married,"1,39,119.00","10,619.00",391,3,0,Un-Employed,0,Youth,High Income,Rejected,8%,Low Exposure,Poor, Other Income,High Dependency,212.38,27.16,Conservative-Low Risk,17.77,Moderate
19,44,Male,Divorced,"43,225.00","39,704.00",829,2,4,Un-Employed,1,Middle-Aged,Low Income,Approved,92%,High Exposure,Excellent, Other Income,Low Dependency,3176.32,47.89,Conservative-Low Risk,18.84,Moderate
20,64,Male,Single,"1,15,286.00","41,575.00",362,1,3,Un-Employed,0,Senior,High Income,Rejected,36%,Low Exposure,Poor, Other Income,Low Dependency,2494.50,114.85,Aggressive-High Risk,5.66,New/Thin
21,50,Female,Single,"26,643.00","44,919.00",811,0,1,Un-Employed,1,Middle-Aged,Low Income,Approved,169%,Critical Exposure,Excellent, Other Income,No DePendency,898.38,55.39,Aggressive-High Risk,16.22,Moderate
22,58,Male,Single,"1,13,059.00","47,261.00",438,1,2,Un-Employed,1,Middle-Aged,High Income,Approved,42%,Controlled Exposure,Poor, Other Income,Low Dependency,1890.44,107.90,Aggressive-High Risk,7.55,New/Thin
23,22,Female,Married,"56,727.00","32,716.00",484,4,3,Un-Employed,0,Youth,Average Income,Rejected,58%,Controlled Exposure,Poor, Other Income,High Dependency,1962.96,67.60,Aggressive-High Risk,22.00,Long/Mature
24,41,Male,Married,"31,005.00","8,236.00",504,3,2,Employed,0,Middle-Aged,Low Income,Rejected,27%,Low Exposure,Poor,Employed,High Dependency,329.44,16.34,Conservative-Low Risk,12.29,Moderate
25,53,Male,Married,"1,29,079.00","20,848.00",513,4,3,Self-Employed,0,Middle-Aged,High Income,Rejected,16%,Low Exposure,Poor,Employed,High Dependency,1250.88,40.64,Conservative-Low Risk,9.68,New/Thin
26,32,Male,Married,"85,697.00","7,352.00",555,3,0,Employed,1,Adult,Average Income,Approved,9%,Low Exposure,Poor,Employed,High Dependency,147.04,13.25,Conservative-Low Risk,17.34,Moderate
27,42,Male,Divorced,"36,029.00","6,932.00",434,3,4,Employed,0,Middle-Aged,Low Income,Rejected,19%,Low Exposure,Poor,Employed,High Dependency,554.56,15.97,Conservative-Low Risk,10.33,Moderate
28,64,Male,Divorced,"1,35,281.00","15,913.00",387,4,2,Un-Employed,0,Senior,High Income,Rejected,12%,Low Exposure,Poor, Other Income,High Dependency,636.52,41.12,Conservative-Low Risk,6.05,New/Thin
29,45,Male,Married,"34,226.00","13,556.00",506,4,3,Self-Employed,0,Middle-Aged,Low Income,Rejected,40%,Low Exposure,Poor,Employed,High Dependency,813.36,26.79,Conservative-Low Risk,11.24,Moderate
30,47,Male,Divorced,"83,646.00","26,300.00",428,1,4,Employed,1,Middle-Aged,Average Income,Approved,31%,Low Exposure,Poor,Employed,Low Dependency,2104.00,61.45,Aggressive-High Risk,9.11,New/Thin
31,62,Female,Single,"80,603.00","10,498.00",302,4,2,Un-Employed,0,Senior,Average Income,Rejected,13%,Low Exposure,Poor, Other Income,High Dependency,419.92,34.76,Conservative-Low Risk,4.87,New/Thin
32,48,Female,Single,"48,731.00","15,582.00",420,1,1,Un-Employed,1,Middle-Aged,Low Income,Approved,32%,Low Exposure,Poor, Other Income,Low Dependency,311.64,37.10,Conservative-Low Risk,8.75,New/Thin
33,36,Female,Single,"1,29,458.00","14,569.00",684,1,3,Self-Employed,1,Adult,High Income,Approved,11%,Low Exposure,Good,Employed,Low Dependency,874.14,21.30,Conservative-Low Risk,19.00,Moderate
34,35,Female,Married,"1,30,384.00","9,857.00",337,1,1,Employed,1,Adult,High Income,Approved,8%,Low Exposure,Poor,Employed,Low Dependency,197.14,29.25,Conservative-Low Risk,9.63,New/Thin
35,64,Female,Single,"88,926.00","5,340.00",640,3,0,Employed,1,Senior,Average Income,Approved,6%,Low Exposure,Good,Employed,High Dependency,106.80,8.34,Conservative-Low Risk,10.00,Moderate
36,23,Male,Divorced,"25,997.00","48,949.00",320,3,1,Employed,0,Youth,Low Income,Rejected,188%,Critical Exposure,Poor,Employed,High Dependency,978.98,152.97,Aggressive-High Risk,13.91,Moderate
37,57,Male,Married,"75,506.00","21,766.00",541,4,1,Un-Employed,0,Middle-Aged,Average Income,Rejected,29%,Low Exposure,Poor, Other Income,High Dependency,435.32,40.23,Conservative-Low Risk,9.49,New/Thin
38,27,Female,Divorced,"98,229.00","31,132.00",754,3,3,Self-Employed,1,Adult,Average Income,Approved,32%,Low Exposure,Excellent,Employed,High Dependency,1867.92,41.29,Conservative-Low Risk,27.93,Long/Mature
39,41,Male,Single,"69,815.00","13,491.00",602,4,0,Self-Employed,1,Middle-Aged,Average Income,Approved,19%,Low Exposure,Good,Employed,High Dependency,269.82,22.41,Conservative-Low Risk,14.68,Moderate
40,29,Female,Single,"62,092.00","5,138.00",368,3,1,Employed,1,Adult,Average Income,Approved,8%,Low Exposure,Poor,Employed,High Dependency,102.76,13.96,Conservative-Low Risk,12.69,Moderate
41,59,Female,Single,"82,539.00","5,358.00",428,0,4,Un-Employed,0,Middle-Aged,Average Income,Rejected,6%,Low Exposure,Poor, Other Income,No DePendency,428.64,12.52,Conservative-Low Risk,7.25,New/Thin
42,38,Male,Married,"86,077.00","14,714.00",495,0,2,Employed,1,Adult,Average Income,Approved,17%,Low Exposure,Poor,Employed,No DePendency,588.56,29.73,Conservative-Low Risk,13.03,Moderate
43,24,Male,Divorced,"41,817.00","24,840.00",439,4,1,Self-Employed,1,Youth,Low Income,Approved,59%,Controlled Exposure,Poor,Employed,High Dependency,496.80,56.58,Aggressive-High Risk,18.29,Moderate
44,45,Male,Married,"57,861.00","39,395.00",743,3,0,Un-Employed,1,Middle-Aged,Average Income,Approved,68%,High Exposure,Good, Other Income,High Dependency,787.90,53.02,Aggressive-High Risk,16.51,Moderate
45,34,Female,Married,"33,428.00","35,654.00",582,3,1,Employed,0,Adult,Low Income,Rejected,107%,Critical Exposure,Poor,Employed,High Dependency,713.08,61.26,Aggressive-High Risk,17.12,Moderate
46,29,Male,Single,"63,934.00","30,879.00",611,1,2,Employed,1,Adult,Average Income,Approved,48%,Controlled Exposure,Good,Employed,Low Dependency,1235.16,50.54,Aggressive-High Risk,21.07,Long/Mature
47,46,Female,Married,"1,35,555.00","20,996.00",834,2,0,Un-Employed,1,Middle-Aged,High Income,Approved,15%,Low Exposure,Excellent, Other Income,Low Dependency,419.92,25.18,Conservative-Low Risk,18.13,Moderate
48,22,Female,Married,"1,34,367.00","42,772.00",576,4,3,Self-Employed,0,Youth,High Income,Rejected,32%,Low Exposure,Poor,Employed,High Dependency,2566.32,74.26,Aggressive-High Risk,26.18,Long/Mature
49,40,Female,Single,"30,258.00","31,762.00",360,2,0,Un-Employed,0,Middle-Aged,Low Income,Rejected,105%,Critical Exposure,Poor, Other Income,Low Dependency,635.24,88.23,Aggressive-High Risk,9.00,New/Thin
50,48,Male,Married,"77,775.00","18,283.00",618,2,3,Employed,1,Middle-Aged,Average Income,Approved,24%,Low Exposure,Good,Employed,Low Dependency,1096.98,29.58,Conservative-Low Risk,12.88,Moderate
51,27,Male,Single,"1,01,580.00","44,420.00",351,4,0,Employed,1,Adult,High Income,Approved,44%,Controlled Exposure,Poor,Employed,High Dependency,888.40,126.55,Aggressive-High Risk,13.00,Moderate
52,64,Female,Single,"1,14,947.00","24,554.00",452,3,2,Employed,1,Senior,High Income,Approved,21%,Low Exposure,Poor,Employed,High Dependency,982.16,54.32,Aggressive-High Risk,7.06,New/Thin
53,28,Male,Single,"25,469.00","25,219.00",610,4,2,Employed,1,Adult,Low Income,Approved,99%,High Exposure,Good,Employed,High Dependency,1008.76,41.34,Conservative-Low Risk,21.79,Long/Mature
54,55,Male,Single,"48,854.00","39,919.00",843,2,0,Self-Employed,1,Middle-Aged,Low Income,Approved,82%,High Exposure,Excellent,Employed,Low Dependency,798.38,47.35,Conservative-Low Risk,15.33,Moderate
55,34,Male,Married,"26,256.00","14,429.00",688,3,1,Self-Employed,1,Adult,Low Income,Approved,55%,Controlled Exposure,Good,Employed,High Dependency,288.58,20.97,Conservative-Low Risk,20.24,Long/Mature
56,37,Female,Single,"1,44,086.00","49,695.00",847,0,2,Employed,1,Adult,High Income,Approved,34%,Low Exposure,Excellent,Employed,No DePendency,1987.80,58.67,Aggressive-High Risk,22.89,Long/Mature
57,56,Female,Single,"96,256.00","44,673.00",476,4,3,Self-Employed,0,Middle-Aged,Average Income,Rejected,46%,Controlled Exposure,Poor,Employed,High Dependency,2680.38,93.85,Aggressive-High Risk,8.50,New/Thin
58,60,Male,Married,"53,937.00","24,218.00",661,4,3,Self-Employed,1,Senior,Average Income,Approved,45%,Controlled Exposure,Good,Employed,High Dependency,1453.08,36.64,Conservative-Low Risk,11.02,Moderate
59,24,Female,Married,"1,19,134.00","17,452.00",613,3,4,Self-Employed,1,Youth,High Income,Approved,15%,Low Exposure,Good,Employed,High Dependency,1396.16,28.47,Conservative-Low Risk,25.54,Long/Mature
60,22,Male,Divorced,"21,651.00","23,951.00",396,0,3,Employed,0,Youth,Low Income,Rejected,111%,Critical Exposure,Poor,Employed,No DePendency,1437.06,60.48,Aggressive-High Risk,18.00,Moderate
61,26,Male,Married,"70,288.00","6,307.00",512,0,4,Un-Employed,0,Adult,Average Income,Rejected,9%,Low Exposure,Poor, Other Income,No DePendency,504.56,12.32,Conservative-Low Risk,19.69,Moderate
62,62,Male,Married,"1,04,730.00","19,852.00",436,3,0,Un-Employed,0,Senior,High Income,Rejected,19%,Low Exposure,Poor, Other Income,High Dependency,397.04,45.53,Conservative-Low Risk,7.03,New/Thin
63,24,Male,Divorced,"45,051.00","30,232.00",305,1,0,Un-Employed,1,Youth,Low Income,Approved,67%,High Exposure,Poor, Other Income,Low Dependency,604.64,99.12,Aggressive-High Risk,12.71,Moderate
64,49,Female,Married,"47,386.00","40,428.00",408,4,0,Employed,1,Middle-Aged,Low Income,Approved,85%,High Exposure,Poor,Employed,High Dependency,808.56,99.09,Aggressive-High Risk,8.33,New/Thin
65,38,Female,Married,"95,054.00","48,171.00",846,4,1,Self-Employed,1,Adult,Average Income,Approved,51%,Controlled Exposure,Excellent,Employed,High Dependency,963.42,56.94,Aggressive-High Risk,22.26,Long/Mature
66,46,Female,Married,"1,31,562.00","31,485.00",338,2,1,Self-Employed,1,Middle-Aged,High Income,Approved,24%,Low Exposure,Poor,Employed,Low Dependency,629.70,93.15,Aggressive-High Risk,7.35,New/Thin
67,64,Male,Married,"36,184.00","15,238.00",724,3,4,Employed,0,Senior,Low Income,Rejected,42%,Controlled Exposure,Good,Employed,High Dependency,1219.04,21.05,Conservative-Low Risk,11.31,Moderate
68,54,Male,Divorced,"53,787.00","43,975.00",560,2,3,Employed,1,Middle-Aged,Average Income,Approved,82%,High Exposure,Poor,Employed,Low Dependency,2638.50,78.53,Aggressive-High Risk,10.37,Moderate
69,30,Male,Married,"41,621.00","6,140.00",725,2,3,Un-Employed,1,Adult,Low Income,Approved,15%,Low Exposure,Good, Other Income,Low Dependency,368.40,8.47,Conservative-Low Risk,24.17,Long/Mature
70,56,Female,Married,"95,564.00","29,842.00",386,0,0,Un-Employed,1,Middle-Aged,Average Income,Approved,31%,Low Exposure,Poor, Other Income,No DePendency,596.84,77.31,Aggressive-High Risk,6.89,New/Thin
71,34,Male,Divorced,"97,984.00","31,421.00",764,4,2,Employed,1,Adult,Average Income,Approved,32%,Low Exposure,Excellent,Employed,High Dependency,1256.84,41.13,Conservative-Low Risk,22.47,Long/Mature
72,51,Female,Single,"79,792.00","6,708.00",375,2,1,Un-Employed,1,Middle-Aged,Average Income,Approved,8%,Low Exposure,Poor, Other Income,Low Dependency,134.16,17.89,Conservative-Low Risk,7.35,New/Thin
73,35,Female,Divorced,"65,253.00","8,630.00",770,0,1,Self-Employed,1,Adult,Average Income,Approved,13%,Low Exposure,Excellent,Employed,No DePendency,172.60,11.21,Conservative-Low Risk,22.00,Long/Mature
74,28,Female,Single,"54,051.00","24,595.00",713,3,0,Employed,1,Adult,Average Income,Approved,46%,Controlled Exposure,Good,Employed,High Dependency,491.90,34.50,Conservative-Low Risk,25.46,Long/Mature
75,34,Female,Divorced,"69,811.00","15,485.00",756,2,1,Employed,1,Adult,Average Income,Approved,22%,Low Exposure,Excellent,Employed,Low Dependency,309.70,20.48,Conservative-Low Risk,22.24,Long/Mature
76,43,Female,Divorced,"50,447.00","33,308.00",584,4,0,Self-Employed,1,Middle-Aged,Average Income,Approved,66%,High Exposure,Poor,Employed,High Dependency,666.16,57.03,Aggressive-High Risk,13.58,Moderate
77,60,Female,Married,"1,48,046.00","49,789.00",538,2,4,Self-Employed,1,Senior,High Income,Approved,34%,Low Exposure,Poor,Employed,Low Dependency,3983.12,92.54,Aggressive-High Risk,8.97,New/Thin
78,41,Male,Single,"1,03,930.00","31,086.00",671,3,3,Self-Employed,1,Middle-Aged,High Income,Approved,30%,Low Exposure,Good,Employed,High Dependency,1865.16,46.33,Conservative-Low Risk,16.37,Moderate
79,36,Male,Married,"1,43,278.00","21,859.00",794,2,2,Un-Employed,1,Adult,High Income,Approved,15%,Low Exposure,Excellent, Other Income,Low Dependency,874.36,27.53,Conservative-Low Risk,22.06,Long/Mature
80,38,Female,Single,"1,20,037.00","12,684.00",344,4,3,Employed,0,Adult,High Income,Rejected,11%,Low Exposure,Poor,Employed,High Dependency,761.04,36.87,Conservative-Low Risk,9.05,New/Thin
81,44,Female,Divorced,"50,254.00","30,552.00",700,0,3,Un-Employed,1,Middle-Aged,Average Income,Approved,61%,High Exposure,Good, Other Income,No DePendency,1833.12,43.65,Conservative-Low Risk,15.91,Moderate
82,46,Male,Divorced,"1,04,045.00","6,207.00",546,4,4,Self-Employed,0,Middle-Aged,High Income,Rejected,6%,Low Exposure,Poor,Employed,High Dependency,496.56,11.37,Conservative-Low Risk,11.87,Moderate
83,45,Female,Single,"1,36,859.00","6,960.00",749,0,1,Un-Employed,1,Middle-Aged,High Income,Approved,5%,Low Exposure,Excellent, Other Income,No DePendency,139.20,9.29,Conservative-Low Risk,16.64,Moderate
84,61,Female,Married,"77,418.00","5,557.00",784,1,2,Self-Employed,1,Senior,Average Income,Approved,7%,Low Exposure,Excellent,Employed,Low Dependency,222.28,7.09,Conservative-Low Risk,12.85,Moderate
85,49,Male,Married,"1,34,534.00","34,689.00",317,4,1,Un-Employed,0,Middle-Aged,High Income,Rejected,26%,Low Exposure,Poor, Other Income,High Dependency,693.78,109.43,Aggressive-High Risk,6.47,New/Thin
86,35,Female,Married,"34,472.00","18,893.00",588,4,3,Un-Employed,0,Adult,Low Income,Rejected,55%,Controlled Exposure,Poor, Other Income,High Dependency,1133.58,32.13,Conservative-Low Risk,16.80,Moderate
87,21,Female,Married,"1,31,193.00","37,272.00",713,3,0,Self-Employed,1,Youth,High Income,Approved,28%,Low Exposure,Good,Employed,High Dependency,745.44,52.27,Aggressive-High Risk,33.95,Long/Mature
88,45,Female,Divorced,"23,471.00","5,882.00",534,2,3,Un-Employed,0,Middle-Aged,Low Income,Rejected,25%,Low Exposure,Poor, Other Income,Low Dependency,352.92,11.01,Conservative-Low Risk,11.87,Moderate
89,27,Male,Divorced,"1,27,332.00","42,529.00",715,0,1,Employed,1,Adult,High Income,Approved,33%,Low Exposure,Good,Employed,No DePendency,850.58,59.48,Aggressive-High Risk,26.48,Long/Mature
90,29,Male,Divorced,"1,40,312.00","43,635.00",798,0,3,Un-Employed,1,Adult,High Income,Approved,31%,Low Exposure,Excellent, Other Income,No DePendency,2618.10,54.68,Aggressive-High Risk,27.52,Long/Mature
91,44,Male,Divorced,"1,43,379.00","34,535.00",414,3,0,Un-Employed,0,Middle-Aged,High Income,Rejected,24%,Low Exposure,Poor, Other Income,High Dependency,690.70,83.42,Aggressive-High Risk,9.41,New/Thin
92,21,Female,Divorced,"1,15,804.00","17,869.00",533,3,4,Employed,0,Youth,High Income,Rejected,15%,Low Exposure,Poor,Employed,High Dependency,1429.52,33.53,Conservative-Low Risk,25.38,Long/Mature
93,64,Female,Married,"28,329.00","12,166.00",839,2,1,Self-Employed,1,Senior,Low Income,Approved,43%,Controlled Exposure,Excellent,Employed,Low Dependency,243.32,14.50,Conservative-Low Risk,13.11,Moderate
94,28,Male,Married,"54,865.00","17,982.00",310,2,3,Employed,1,Adult,Average Income,Approved,33%,Low Exposure,Poor,Employed,Low Dependency,1078.92,58.01,Aggressive-High Risk,11.07,Moderate
95,44,Female,Married,"66,850.00","45,697.00",505,4,1,Un-Employed,0,Middle-Aged,Average Income,Rejected,68%,High Exposure,Poor, Other Income,High Dependency,913.94,90.49,Aggressive-High Risk,11.48,Moderate
96,31,Female,Married,"74,220.00","43,115.00",546,1,4,Self-Employed,1,Adult,Average Income,Approved,58%,Controlled Exposure,Poor,Employed,Low Dependency,3449.20,78.97,Aggressive-High Risk,17.61,Moderate
97,37,Female,Divorced,"1,32,234.00","12,269.00",426,2,3,Un-Employed,0,Adult,High Income,Rejected,9%,Low Exposure,Poor, Other Income,Low Dependency,736.14,28.80,Conservative-Low Risk,11.51,Moderate
98,28,Female,Divorced,"1,13,808.00","33,064.00",446,3,3,Un-Employed,0,Adult,High Income,Rejected,29%,Low Exposure,Poor, Other Income,High Dependency,1983.84,74.13,Aggressive-High Risk,15.93,Moderate
99,55,Female,Divorced,"1,28,381.00","18,527.00",417,2,1,Employed,1,Middle-Aged,High Income,Approved,14%,Low Exposure,Poor,Employed,Low Dependency,370.54,44.43,Conservative-Low Risk,7.58,New/Thin
100,55,Male,Single,"26,397.00","7,454.00",681,0,1,Employed,1,Middle-Aged,Low Income,Approved,28%,Low Exposure,Good,Employed,No DePendency,149.08,10.95,Conservative-Low Risk,12.38,Moderate
101,53,Female,Married,"1,17,909.00","25,878.00",711,1,0,Self-Employed,1,Middle-Aged,High Income,Approved,22%,Low Exposure,Good,Employed,Low Dependency,517.56,36.40,Conservative-Low Risk,13.42,Moderate
102,25,Male,Married,"1,49,004.00","17,991.00",662,4,4,Self-Employed,1,Adult,High Income,Approved,12%,Low Exposure,Good,Employed,High Dependency,1439.28,27.18,Conservative-Low Risk,26.48,Long/Mature
103,62,Female,Divorced,"55,525.00","7,808.00",808,0,0,Self-Employed,1,Senior,Average Income,Approved,14%,Low Exposure,Excellent,Employed,No DePendency,156.16,9.66,Conservative-Low Risk,13.03,Moderate
104,59,Male,Married,"73,072.00","44,410.00",436,0,3,Un-Employed,0,Middle-Aged,Average Income,Rejected,61%,High Exposure,Poor, Other Income,No DePendency,2664.60,101.86,Aggressive-High Risk,7.39,New/Thin
105,61,Female,Married,"1,10,106.00","41,593.00",474,1,1,Employed,1,Senior,High Income,Approved,38%,Low Exposure,Poor,Employed,Low Dependency,831.86,87.75,Aggressive-High Risk,7.77,New/Thin
106,48,Male,Divorced,"1,03,820.00","41,304.00",588,4,3,Employed,0,Middle-Aged,High Income,Rejected,40%,Low Exposure,Poor,Employed,High Dependency,2478.24,70.24,Aggressive-High Risk,12.25,Moderate
107,27,Female,Single,"1,04,530.00","35,386.00",780,3,3,Employed,1,Adult,High Income,Approved,34%,Low Exposure,Excellent,Employed,High Dependency,2123.16,45.37,Conservative-Low Risk,28.89,Long/Mature
108,29,Male,Single,"43,284.00","8,802.00",318,4,2,Self-Employed,1,Adult,Low Income,Approved,20%,Low Exposure,Poor,Employed,High Dependency,352.08,27.68,Conservative-Low Risk,10.97,Moderate
109,28,Female,Single,"81,330.00","33,753.00",494,2,2,Employed,1,Adult,Average Income,Approved,42%,Controlled Exposure,Poor,Employed,Low Dependency,1350.12,68.33,Aggressive-High Risk,17.64,Moderate
110,32,Male,Divorced,"1,03,369.00","26,083.00",629,0,3,Employed,1,Adult,High Income,Approved,25%,Low Exposure,Good,Employed,No DePendency,1564.98,41.47,Conservative-Low Risk,19.66,Moderate
111,54,Female,Married,"45,122.00","23,354.00",474,2,1,Employed,1,Middle-Aged,Low Income,Approved,52%,Controlled Exposure,Poor,Employed,Low Dependency,467.08,49.27,Conservative-Low Risk,8.78,New/Thin
112,53,Male,Divorced,"90,553.00","27,190.00",748,3,3,Self-Employed,1,Middle-Aged,Average Income,Approved,30%,Low Exposure,Good,Employed,High Dependency,1631.40,36.35,Conservative-Low Risk,14.11,Moderate
113,43,Male,Divorced,"1,01,906.00","11,142.00",653,2,2,Employed,1,Middle-Aged,High Income,Approved,11%,Low Exposure,Good,Employed,Low Dependency,445.68,17.06,Conservative-Low Risk,15.19,Moderate
114,44,Female,Married,"1,14,788.00","33,398.00",798,4,1,Self-Employed,1,Middle-Aged,High Income,Approved,29%,Low Exposure,Excellent,Employed,High Dependency,667.96,41.85,Conservative-Low Risk,18.14,Moderate
115,57,Female,Single,"82,812.00","46,862.00",440,2,3,Employed,1,Middle-Aged,Average Income,Approved,57%,Controlled Exposure,Poor,Employed,Low Dependency,2811.72,106.50,Aggressive-High Risk,7.72,New/Thin
116,55,Male,Single,"27,999.00","38,132.00",392,3,4,Employed,0,Middle-Aged,Low Income,Rejected,136%,Critical Exposure,Poor,Employed,High Dependency,3050.56,97.28,Aggressive-High Risk,7.13,New/Thin
117,64,Female,Divorced,"42,436.00","24,503.00",538,3,4,Employed,0,Senior,Low Income,Rejected,58%,Controlled Exposure,Poor,Employed,High Dependency,1960.24,45.54,Conservative-Low Risk,8.41,New/Thin
118,60,Male,Single,"62,963.00","39,631.00",504,3,3,Self-Employed,0,Senior,Average Income,Rejected,63%,High Exposure,Poor,Employed,High Dependency,2377.86,78.63,Aggressive-High Risk,8.40,New/Thin
119,42,Male,Divorced,"22,096.00","21,499.00",732,4,1,Self-Employed,1,Middle-Aged,Low Income,Approved,97%,High Exposure,Good,Employed,High Dependency,429.98,29.37,Conservative-Low Risk,17.43,Moderate
120,47,Male,Divorced,"1,49,940.00","44,852.00",544,3,3,Employed,0,Middle-Aged,High Income,Rejected,30%,Low Exposure,Poor,Employed,High Dependency,2691.12,82.45,Aggressive-High Risk,11.57,Moderate
121,55,Female,Married,"1,33,737.00","13,016.00",616,0,3,Un-Employed,1,Middle-Aged,High Income,Approved,10%,Low Exposure,Good, Other Income,No DePendency,780.96,21.13,Conservative-Low Risk,11.20,Moderate
122,21,Male,Married,"45,279.00","7,384.00",594,3,2,Self-Employed,1,Youth,Low Income,Approved,16%,Low Exposure,Poor,Employed,High Dependency,295.36,12.43,Conservative-Low Risk,28.29,Long/Mature
123,55,Male,Married,"1,41,092.00","20,072.00",581,2,4,Self-Employed,1,Middle-Aged,High Income,Approved,14%,Low Exposure,Poor,Employed,Low Dependency,1605.76,34.55,Conservative-Low Risk,10.56,Moderate
124,57,Female,Divorced,"1,28,899.00","41,703.00",316,2,2,Employed,1,Middle-Aged,High Income,Approved,32%,Low Exposure,Poor,Employed,Low Dependency,1668.12,131.97,Aggressive-High Risk,5.54,New/Thin
125,34,Female,Married,"1,34,245.00","19,482.00",370,2,2,Un-Employed,1,Adult,High Income,Approved,15%,Low Exposure,Poor, Other Income,Low Dependency,779.28,52.65,Aggressive-High Risk,10.88,Moderate
126,23,Female,Single,"46,201.00","45,510.00",568,4,3,Employed,0,Youth,Low Income,Rejected,99%,High Exposure,Poor,Employed,High Dependency,2730.60,80.12,Aggressive-High Risk,24.70,Long/Mature
127,21,Female,Single,"39,715.00","26,826.00",624,2,2,Self-Employed,1,Youth,Low Income,Approved,68%,High Exposure,Good,Employed,Low Dependency,1073.04,42.99,Conservative-Low Risk,29.71,Long/Mature
